"AccountRef.value","AccountRef.name","PaymentType","EntityRef.value","EntityRef.name","EntityRef.type","Credit","TotalAmt","PurchaseEx.any[0].name","PurchaseEx.any[0].declaredType","PurchaseEx.any[0].scope","PurchaseEx.any[0].value.Name","PurchaseEx.any[0].value.Value","PurchaseEx.any[0].nil","PurchaseEx.any[0].globalScope","PurchaseEx.any[0].typeSubstituted","domain","sparse","Id","SyncToken","MetaData.CreateTime","MetaData.LastUpdatedTime","DocNumber","TxnDate","DepartmentRef.value","DepartmentRef.name","CurrencyRef.value","CurrencyRef.name","PrivateNote","RemitToAddr.Id","RemitToAddr.Line1","PrintStatus","RemitToAddr.City","RemitToAddr.CountrySubDivisionCode","RemitToAddr.PostalCode","RemitToAddr.Line2","RemitToAddr.Line3","RemitToAddr.Line4","PaymentMethodRef.value","RemitToAddr.Line5","RecurDataRef.value","status","RemitToAddr.Country"
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"22.8",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35437","2","2025-02-04T13:11:03-08:00","2025-02-07T17:37:53-08:00",,"2025-02-01","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"22.55",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35438","2","2025-02-04T13:11:18-08:00","2025-02-07T17:37:53-08:00",,"2025-02-01","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"35.7",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35439","2","2025-02-04T13:11:40-08:00","2025-02-07T17:37:53-08:00",,"2025-02-01","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"58.61",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35440","0","2025-02-04T13:11:56-08:00","2025-02-04T13:11:56-08:00",,"2025-01-27","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"670",Safeway,Vendor,False,"40.05",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35441","0","2025-02-04T13:15:05-08:00","2025-02-04T13:15:05-08:00",,"2025-01-21","1",Hawaii Forest & Trail,USD,United States Dollar,SAFEWAY FUEL 5814 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"670",Safeway,Vendor,False,"54.19",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35442","0","2025-02-04T13:15:40-08:00","2025-02-04T13:15:40-08:00",,"2025-01-29","1",Hawaii Forest & Trail,USD,United States Dollar,SAFEWAY FUEL 5814 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"402",Costco,Vendor,False,"24.35",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35443","0","2025-02-04T13:17:30-08:00","2025-02-04T13:17:30-08:00",,"2025-01-19","1",Hawaii Forest & Trail,USD,United States Dollar,COSTCO GAS #0140 KAILUA KONA HI,,,,,,,,,,,,,,
"37",Citi Card COSTCO,CreditCard,"1172",Credit Card Vendor,Vendor,False,"1299.41",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35444","0","2025-02-04T13:19:30-08:00","2025-02-04T13:19:30-08:00",,"2025-01-09","1",Hawaii Forest & Trail,USD,United States Dollar,KONA AUTO CENTER 808-3294408 HI- Rob Truck,,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"1172",Credit Card Vendor,Vendor,False,"168.31",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35445","0","2025-02-04T13:22:37-08:00","2025-02-04T13:22:37-08:00",,"2025-01-29","1",Hawaii Forest & Trail,USD,United States Dollar,"FOUR SEASONS BEACH TRE - 4397- RC, Jan- Hakalau 40th Celebration Planning",,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"651",Prince Hotel,Vendor,False,"278.35",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35446","0","2025-02-04T13:23:24-08:00","2025-02-04T13:23:24-08:00",,"2025-01-31","1",Hawaii Forest & Trail,USD,United States Dollar,PRINCE HOTELS - 4397- HVCB Meeting- Rob,,,,,,,,,,,,,,
"33",HI AIR HFT,CreditCard,"673",Sean's Kitchen,Vendor,False,"56.27",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35447","0","2025-02-04T13:24:44-08:00","2025-02-04T13:24:44-08:00",,"2025-01-29","1",Hawaii Forest & Trail,USD,United States Dollar,SQ *SEAN S KITCHEN- R&C HVCB Board Consideration,,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"505",Home Depot,Vendor,False,"39.24",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35448","0","2025-02-04T13:27:39-08:00","2025-02-04T13:27:39-08:00",,"2025-01-31","1",Hawaii Forest & Trail,USD,United States Dollar,THE HOME DEPOT #1704 - 4639 MKSS Van Cleaning,,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"706",Target,Vendor,False,"3.96",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35449","0","2025-02-04T13:28:41-08:00","2025-02-04T13:28:41-08:00",,"2025-01-30","1",Hawaii Forest & Trail,USD,United States Dollar,TARGET 00024125 - 4639 MKSS Van cleaning,,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"505",Home Depot,Vendor,False,"111.97",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35450","0","2025-02-04T13:31:45-08:00","2025-02-04T13:31:45-08:00",,"2025-01-25","1",Hawaii Forest & Trail,USD,United States Dollar,"THE HOME DEPOT #1704 - 4639- Rake, rachet and dewalt",,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"505",Home Depot,Vendor,False,"7.3",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35555","0","2025-02-04T13:35:19-08:00","2025-02-04T13:35:19-08:00",,"2025-01-18","1",Hawaii Forest & Trail,USD,United States Dollar,THE HOME DEPOT #1704 - 4639 drawer lock,,,,,,,,,,,,,,
"42",HFT Capital One,CreditCard,"662",Rightworks,Vendor,False,"35.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35557","0","2025-02-04T13:46:34-08:00","2025-02-04T13:46:34-08:00",,"2025-01-31","1",Hawaii Forest & Trail,USD,United States Dollar,RIGHTWORKS - 6677 Transaction Pro,,,,,,,,,,,,,,
"129",HFT Wire Account,Check,"1227","E Hawaii Destination Services, Inc.",Vendor,,"13.56",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35597","0","2025-02-04T13:54:15-08:00","2025-02-04T13:54:15-08:00",Online,"2025-01-08","1",Hawaii Forest & Trail,USD,United States Dollar,,"6725","E Hawaii Destination Services, Inc.",NotSet,,,,,,,,,,,
"125",HFT Operating Account,Check,"653",Proservice,Vendor,,"80604.14",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35596","0","2025-02-04T13:54:15-08:00","2025-02-04T13:54:15-08:00",Online,"2025-01-07","1",Hawaii Forest & Trail,USD,United States Dollar,,,,NotSet,,,,,,,,,,,
"129",HFT Wire Account,Check,,,,,"1.82",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35595","0","2025-02-04T13:54:15-08:00","2025-02-04T13:54:15-08:00",Online,"2025-01-06","1",Hawaii Forest & Trail,USD,United States Dollar,,,,NotSet,,,,,,,,,,,
"129",HFT Wire Account,Check,"516",Intuit,Vendor,,"15.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35594","0","2025-02-04T13:54:15-08:00","2025-02-04T13:54:15-08:00",Online,"2025-01-06","1",Hawaii Forest & Trail,USD,United States Dollar,,"238","21650 Oxnard St.",NotSet,Woodland Hills,CA,"91367",Ste 2200,,,,,,,
"125",HFT Operating Account,Check,"1226",Quickbooks,Vendor,,"147.35",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35592","0","2025-02-04T13:54:15-08:00","2025-03-13T16:44:44-07:00",Online,"2025-01-03","1",Hawaii Forest & Trail,USD,United States Dollar,Monthly subscription,"6724",Quickbooks,NotSet,,,,,,,,,,,
"129",HFT Wire Account,Check,"516",Intuit,Vendor,,"15.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35590","0","2025-02-04T13:54:15-08:00","2025-02-04T13:54:15-08:00",Online,"2025-01-02","1",Hawaii Forest & Trail,USD,United States Dollar,,"238","21650 Oxnard St.",NotSet,Woodland Hills,CA,"91367",Ste 2200,,,,,,,
"125",HFT Operating Account,Check,"402",Costco,Vendor,,"209.41",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35602","0","2025-02-04T13:54:16-08:00","2025-02-04T13:54:16-08:00","21755","2025-01-14","1",Hawaii Forest & Trail,USD,United States Dollar,Ui- Airpods 10 year gift,"176","73-5600 Maiau Street",NotSet,Kailua-Kona,HI,"96740",,,,,,,,
"125",HFT Operating Account,Check,"531",John Hancock,Vendor,,"7496.43",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35601","0","2025-02-04T13:54:16-08:00","2025-02-04T13:54:16-08:00",Online,"2025-01-13","1",Hawaii Forest & Trail,USD,United States Dollar,,,,NotSet,,,,,,,,,,,
"126",HFT Petty Cash,Check,"383",Cartow Kohala,Vendor,,"15.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35600","0","2025-02-04T13:54:16-08:00","2025-02-04T13:54:16-08:00",Online,"2025-01-13","1",Hawaii Forest & Trail,USD,United States Dollar,Safety Kou,,,NotSet,,,,,,,,,,,
"125",HFT Operating Account,Check,"402",Costco,Vendor,,"706.56",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35599","1","2025-02-04T13:54:16-08:00","2025-05-21T18:27:22-07:00","21741","2025-01-10","1",Hawaii Forest & Trail,USD,United States Dollar,,"176","73-5600 Maiau Street",NotSet,Kailua-Kona,HI,"96740",,,,,,,,
"125",HFT Operating Account,Check,"402",Costco,Vendor,,"999.84",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35598","0","2025-02-04T13:54:16-08:00","2025-02-04T13:54:16-08:00","21753","2025-01-10","1",Hawaii Forest & Trail,USD,United States Dollar,"bars, fruit snacks, tea, juice","176","73-5600 Maiau Street",NotSet,Kailua-Kona,HI,"96740",,,,,,,,
"125",HFT Operating Account,Check,"653",Proservice,Vendor,,"86605.41",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35608","0","2025-02-04T13:54:17-08:00","2025-02-04T13:54:17-08:00",Online,"2025-01-22","1",Hawaii Forest & Trail,USD,United States Dollar,,,,NotSet,,,,,,,,,,,
"125",HFT Operating Account,Check,"251",Joel Michaelson,Vendor,,"200.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35606","0","2025-02-04T13:54:17-08:00","2025-02-04T13:54:17-08:00","21774","2025-01-17","1",Hawaii Forest & Trail,USD,United States Dollar,Shuttle driver for party,,,NotSet,,,,,,,,,,,
"125",HFT Operating Account,Check,"261",Melio,Vendor,,"0.5",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35604","0","2025-02-04T13:54:17-08:00","2025-02-04T13:54:17-08:00",online,"2025-01-14","1",Hawaii Forest & Trail,USD,United States Dollar,,,,NotSet,,,,,,,,,,,
"125",HFT Operating Account,Check,"351",Bank of Hawaii Bank Acct.,Vendor,,"2780.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35603","0","2025-02-04T13:54:17-08:00","2025-02-04T13:54:17-08:00",Online,"2025-01-14","1",Hawaii Forest & Trail,USD,United States Dollar,,"156",,NotSet,Bank of,HI,,,,,,,,,
"126",HFT Petty Cash,Check,"383",Cartow Kohala,Vendor,,"30.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35610","0","2025-02-04T13:54:18-08:00","2025-02-04T13:54:18-08:00",Online,"2025-01-28","1",Hawaii Forest & Trail,USD,United States Dollar,Safety Forest & Old Nahoku,,,NotSet,,,,,,,,,,,
"129",HFT Wire Account,Check,"516",Intuit,Vendor,,"43.02",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"3",False,True,False,QBO,False,"35609","0","2025-02-04T13:54:18-08:00","2025-02-04T13:54:18-08:00",Online,"2025-01-22","1",Hawaii Forest & Trail,USD,United States Dollar,EHawaii Destination processing fee,"238","21650 Oxnard St.",NotSet,Woodland Hills,CA,"91367",Ste 2200,,,,,,,
"33",HI AIR HFT,CreditCard,"754",Yelp,Vendor,False,"70.0",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35615","0","2025-02-04T14:05:55-08:00","2025-05-13T14:02:41-07:00",,"2025-02-01","1",Hawaii Forest & Trail,USD,United States Dollar,YELPINC*855 380 9357,,,,,,,,,,,,,,
"33",HI AIR HFT,CreditCard,"1172",Credit Card Vendor,Vendor,False,"1191.58",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35618","0","2025-02-04T14:08:35-08:00","2025-02-04T14:08:35-08:00",,"2025-01-13","1",Hawaii Forest & Trail,USD,United States Dollar,Yoco   *AWOL Tours Pty Africa Tour,,,,,,,,,,,,,,
"33",HI AIR HFT,CreditCard,"1172",Credit Card Vendor,Vendor,False,"281.04",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35619","0","2025-02-04T14:09:41-08:00","2025-02-04T14:09:41-08:00",,"2025-01-16","1",Hawaii Forest & Trail,USD,United States Dollar,SQ *COLETTES CUSTOM FR- 5 yr anniversary gift- Ashlee and Eugene,,,,,,,,,,,,,,
"33",HI AIR HFT,CreditCard,"486",Hawaii Public Radio,Vendor,False,"510.33",{http://schema.intuit.com/finance/v3}NameValue,com.intuit.schema.finance.v3.NameValue,javax.xml.bind.JAXBElement$GlobalScope,TxnType,"54",False,True,False,QBO,False,"35620","0","2025-02-04T14:10:12-08:00","2025-02-04T14:10:12-08:00",,"2025-01-01","1",Hawaii Forest & Trail,USD,United States Dollar,HAWAII PUBLIC RADIO UN,,,,,,,,,,,,,,
