"Id","Description","Amount","DetailType","AccountBasedExpenseLineDetail.ClassRef.value","AccountBasedExpenseLineDetail.ClassRef.name","AccountBasedExpenseLineDetail.AccountRef.value","AccountBasedExpenseLineDetail.AccountRef.name","AccountBasedExpenseLineDetail.BillableStatus","AccountBasedExpenseLineDetail.TaxCodeRef.value","Parent_Id","TxnDate","DocNumber","AccountBasedExpenseLineDetail.CustomerRef.value","AccountBasedExpenseLineDetail.CustomerRef.name","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","ProjectRef.value","AccountBasedExpenseLineDetail.MarkupInfo.Percent","Parent_Entity"
"1",COSTCO GAS #0140 KAILUA KONA HI,"70.35",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35215","2025-01-30",,,,,,,,Purchase
"1",ISLAND NATURALS KONA KAILUA KONA HI,"23.22",AccountBasedExpenseLineDetail,"842100",HFTCO,"151",Catering,NotBillable,NON,"35432","2025-01-29",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"19.4",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35433","2025-01-29",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"80.82",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35434","2025-01-25",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"21.85",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35435","2025-01-23",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"80.02",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35436","2025-01-23",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"22.8",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35437","2025-02-01",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"22.55",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35438","2025-02-01",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"35.7",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35439","2025-02-01",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"58.61",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35440","2025-01-27",,,,,,,,Purchase
"1",SAFEWAY FUEL 5814 KAILUA KONA HI,"40.05",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35441","2025-01-21",,,,,,,,Purchase
"1",SAFEWAY FUEL 5814 KAILUA KONA HI,"54.19",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35442","2025-01-29",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"24.35",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35443","2025-01-19",,,,,,,,Purchase
"1",KONA AUTO CENTER 808-3294408 HI- Rob Truck,"1299.41",AccountBasedExpenseLineDetail,"842100",HFTCO,"175",Auto R&M,NotBillable,NON,"35444","2025-01-09",,,,,,,,Purchase
"1","FOUR SEASONS BEACH TRE - 4397- RC, Jan- Hakalau 40th Celebration Planning","168.31",AccountBasedExpenseLineDetail,"842100",HFTCO,"112",Meals & Entertainment,NotBillable,NON,"35445","2025-01-29",,,,,,,,Purchase
"1",PRINCE HOTELS - 4397- HVCB Meeting- Rob,"278.35",AccountBasedExpenseLineDetail,"842100",HFTCO,"111",Travel,NotBillable,NON,"35446","2025-01-31",,,,,,,,Purchase
"1",SQ *SEAN S KITCHEN- R&C HVCB Board Consideration,"56.27",AccountBasedExpenseLineDetail,"842100",HFTCO,"112",Meals & Entertainment,NotBillable,NON,"35447","2025-01-29",,,,,,,,Purchase
"1",THE HOME DEPOT #1704 - 4639 MKSS Van Cleaning,"39.24",AccountBasedExpenseLineDetail,"842100",HFTCO,"176",Auto R&M - Van Cleaning,NotBillable,NON,"35448","2025-01-31",,,,,,,,Purchase
"1",TARGET 00024125 - 4639 MKSS Van cleaning,"3.96",AccountBasedExpenseLineDetail,"842100",HFTCO,"176",Auto R&M - Van Cleaning,NotBillable,NON,"35449","2025-01-30",,,,,,,,Purchase
"1","THE HOME DEPOT #1704 - 4639- Rake, rachet and dewalt","111.97",AccountBasedExpenseLineDetail,"842100",HFTCO,"95",Trail & Road,NotBillable,NON,"35450","2025-01-25",,,,,,,,Purchase
"1",THE HOME DEPOT #1704 - 4639 drawer lock,"7.3",AccountBasedExpenseLineDetail,"842100",HFTCO,"101",General,NotBillable,NON,"35555","2025-01-18",,,,,,,,Purchase
"1",RIGHTWORKS - 6677 Transaction Pro,"35.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"114",Dues & Subscriptions,NotBillable,NON,"35557","2025-01-31",,,,,,,,Purchase
"1",,"13.56",AccountBasedExpenseLineDetail,"842100",HFTCO,"155",Credit Card Fees,NotBillable,NON,"35597","2025-01-08",Online,,,,,,,Purchase
"1",Gross Wages,"75629.94",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"2",FICA-Social Security,"4645.31",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"3",FICA-Medicare,"1086.4",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"4",Federal Unemployment,"449.54",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"5",State Unemployment,"1055.95",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"6",Hawaii TDI,"348.59",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"7",EPLI,"189.07",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"8",Workers Comp,"4044.71",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"9",Admin Fees,"852.5",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"10",T&A Fees,"31.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"11",Sales Tax,"57.47",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"12",Employee Deductions,-8124.34,AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"13",Compliance Reporting Fee,"338.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35596","2025-01-07",Online,,,,,,,Purchase
"1",,"1.82",AccountBasedExpenseLineDetail,"842100",HFTCO,"155",Credit Card Fees,NotBillable,NON,"35595","2025-01-06",Online,,,,,,,Purchase
"1",,"15.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"155",Credit Card Fees,NotBillable,NON,"35594","2025-01-06",Online,,,,,,,Purchase
"1",QB Subscription,"73.68",AccountBasedExpenseLineDetail,"842100",HFTCO,"114",Dues & Subscriptions,HasBeenBilled,NON,"35592","2025-01-03",Online,"63",Kohala Zipline LLC,"35593",ReimburseCharge,,,Purchase
"2",,"73.67",AccountBasedExpenseLineDetail,"842100",HFTCO,"114",Dues & Subscriptions,NotBillable,NON,"35592","2025-01-03",Online,,,,,,,Purchase
"1",,"15.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"155",Credit Card Fees,HasBeenBilled,NON,"35590","2025-01-02",Online,"133",Affiliate 15%,"35591",ReimburseCharge,,,Purchase
"1",,"209.41",AccountBasedExpenseLineDetail,"842100",HFTCO,"147",Payroll Related Expenses,NotBillable,NON,"35602","2025-01-14","21755",,,,,,,Purchase
"1",,"7496.43",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35601","2025-01-13",Online,,,,,,,Purchase
"1",,"15.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"113",Licenses & Permits,NotBillable,NON,"35600","2025-01-13",Online,,,,,,,Purchase
"1","chips, juice, water, plates","638.84",AccountBasedExpenseLineDetail,"842100",HFTCO,"151",Catering,NotBillable,NON,"35599","2025-01-10","21741",,,,,,,Purchase
"2","ziplocks, dawn, paper","67.72",AccountBasedExpenseLineDetail,"842100",HFTCO,"101",General,NotBillable,NON,"35599","2025-01-10","21741",,,,,,,Purchase
"1",,"999.84",AccountBasedExpenseLineDetail,"842100",HFTCO,"151",Catering,NotBillable,NON,"35598","2025-01-10","21753",,,,,,,Purchase
"1",Gross Wages,"81168.6",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"2",FICA-Social Security,"4988.68",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"3",FICA-Medicare,"1166.68",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"4",Federal Unemployment,"441.78",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"5",State Unemployment,"1144.48",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"6",Hawaii TDI,"366.36",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"7",EPLI,"202.92",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"8",Workers Comp,"4466.04",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"9",Admin Fees,"880.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"10",T&A Fees,"32.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"11",Sales Tax,"42.88",AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"12",Employee Deductions,-8295.01,AccountBasedExpenseLineDetail,"842100",HFTCO,"50",Accrued Payroll,NotBillable,NON,"35608","2025-01-22",Online,,,,,,,Purchase
"1",,"200.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"147",Payroll Related Expenses,NotBillable,NON,"35606","2025-01-17","21774",,,,,,,Purchase
"1",,"0.5",AccountBasedExpenseLineDetail,"842100",HFTCO,"117",Bank Fees,NotBillable,NON,"35604","2025-01-14",online,,,,,,,Purchase
"1",,"2022.38",AccountBasedExpenseLineDetail,"842100",HFTCO,"1150040002",MB SP New Loan 3-202C,NotBillable,NON,"35603","2025-01-14",Online,,,,,,,Purchase
"2",,"757.62",AccountBasedExpenseLineDetail,"842100",HFTCO,"78",Interest Expense,NotBillable,NON,"35603","2025-01-14",Online,,,,,,,Purchase
"1",,"30.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"113",Licenses & Permits,NotBillable,NON,"35610","2025-01-28",Online,,,,,,,Purchase
"1",,"24.43",AccountBasedExpenseLineDetail,"842100",HFTCO,"155",Credit Card Fees,NotBillable,NON,"35609","2025-01-22",Online,,,,,,,Purchase
"2",,"18.59",AccountBasedExpenseLineDetail,"842100",HFTCO,"155",Credit Card Fees,NotBillable,NON,"35609","2025-01-22",Online,,,,,,,Purchase
"1",YELPINC*855 380 9357,"70.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,HasBeenBilled,NON,"35615","2025-02-01",,"63",Kohala Zipline LLC,"35616",ReimburseCharge,,"0.0",Purchase
"1",Yoco   *AWOL Tours Pty Africa Tour,"1191.58",AccountBasedExpenseLineDetail,"847966",HFT3,"86",Education & Seminars,NotBillable,NON,"35618","2025-01-13",,,,,,,,Purchase
"1",SQ *COLETTES CUSTOM FR- 5 yr anniversary gift- Ashlee and Eugene,"281.04",AccountBasedExpenseLineDetail,"842100",HFTCO,"147",Payroll Related Expenses,NotBillable,NON,"35619","2025-01-16",,,,,,,,Purchase
"1",HAWAII PUBLIC RADIO UN,"510.33",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"35620","2025-01-01",,,,,,,,Purchase
"1",YELPINC*855 380 9357,"70.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,HasBeenBilled,NON,"35621","2025-01-01",,"63",Kohala Zipline LLC,"35622",ReimburseCharge,,"0.0",Purchase
"1",YELPINC*855 380 9357,"75.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"35623","2025-01-01",,,,,,,,Purchase
"1",ALOHA KIA KONA Cindy car,"307.38",AccountBasedExpenseLineDetail,"842100",HFTCO,"175",Auto R&M,NotBillable,NON,"35624","2025-01-10",,,,,,,,Purchase
"1",ADOBE  *ADOBE,"263.82",AccountBasedExpenseLineDetail,"842100",HFTCO,"110",Cost of Sales,HasBeenBilled,NON,"35641","2025-01-25",,"63",Kohala Zipline LLC,"35642",ReimburseCharge,,"0.0",Purchase
"1",ADOBE  *ADOBE,"7.29",AccountBasedExpenseLineDetail,"842100",HFTCO,"110",Cost of Sales,NotBillable,NON,"35643","2025-01-16",,,,,,,,Purchase
"1",Wikimedia,"17.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"116",Donations & Gifts,NotBillable,NON,"35644","2025-01-22",,,,,,,,Purchase
"1",AMAZON MKTPL*ZD94L2652,"119.36",AccountBasedExpenseLineDetail,"842100",HFTCO,"101",General,NotBillable,NON,"35646","2025-01-05",,,,,,,,Purchase
"1",Amazon.com*ZP2ZR4LY1,"194.65",AccountBasedExpenseLineDetail,"842100",HFTCO,"151",Catering,NotBillable,NON,"35647","2025-01-03",,,,,,,,Purchase
"1",Danner LFI - 4639 Nic Work boots,"251.31",AccountBasedExpenseLineDetail,"842100",HFTCO,"147",Payroll Related Expenses,NotBillable,NON,"35654","2025-01-18",,,,,,,,Purchase
"1",SQ *BIG ISLAND RUNNING - 4397 Ui 10 year gift,"300.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"147",Payroll Related Expenses,NotBillable,NON,"35655","2025-01-15",,,,,,,,Purchase
"1",SQ *RISING TIDE POKE - 4133,"16.82",AccountBasedExpenseLineDetail,"842100",HFTCO,"112",Meals & Entertainment,NotBillable,NON,"35656","2025-01-24",,,,,,,,Purchase
"1",MPI HQ - 9971,"575.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"110",Cost of Sales,NotBillable,NON,"35657","2025-01-27",,,,,,,,Purchase
"1",TARGET.COM - 9187,"50.16",AccountBasedExpenseLineDetail,"842100",HFTCO,"151",Catering,NotBillable,NON,"35658","2025-01-21",,,,,,,,Purchase
"1",LIBERTY MOUNTAIN - 6677,"1257.18",AccountBasedExpenseLineDetail,"842100",HFTCO,"102",Outfitting,NotBillable,NON,"35659","2025-01-07",,,,,,,,Purchase
"1","EVITE, INC. - 6677","72.09",AccountBasedExpenseLineDetail,"842100",HFTCO,"147",Payroll Related Expenses,NotBillable,NON,"35660","2025-01-06",,,,,,,,Purchase
"1",FARM AND GARDEN - 4397,"401.57",AccountBasedExpenseLineDetail,"842100",HFTCO,"93",Equipment,NotBillable,NON,"35661","2025-01-13",,,,,,,,Purchase
"1",THE HOME DEPOT #1704 - 4639,"31.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"101",General,NotBillable,NON,"35662","2025-01-13",,,,,,,,Purchase
"1",TARGET.COM - 9187,"99.37",AccountBasedExpenseLineDetail,"842100",HFTCO,"151",Catering,NotBillable,NON,"35663","2025-01-07",,,,,,,,Purchase
"1",EB *2025 TRAVEL WEEKLY - 9971 Travel Leaders Hawaii conference- Jono & Jason,"390.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"86",Education & Seminars,NotBillable,NON,"35664","2025-01-09",,,,,,,,Purchase
"1",Bing Ads Search RBT - 9971,"23.29",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"35702","2025-01-21",,,,,,,,Purchase
"1",U-HAUL MOVING & STORAG - 4639,"182.03",AccountBasedExpenseLineDetail,"842100",HFTCO,"91",Vehicle and Equipment Rent,NotBillable,NON,"35703","2025-01-13",,,,,,,,Purchase
"1",B&H PHOTOXXXXXXXXXXXX - 4397 Jono 10 year gift,"549.28",AccountBasedExpenseLineDetail,"842100",HFTCO,"147",Payroll Related Expenses,NotBillable,NON,"35705","2025-01-06",,,,,,,,Purchase
"1",GOOGLE*ADSXXXXXX9530 - 9971,"412.29",AccountBasedExpenseLineDetail,"842100",HFTCO,"109",Advertising,NotBillable,NON,"35802","2025-01-02",,,,,,,,Purchase
"1",GOOGLE *GSUITE_birdfes cc@google.comCA,"7.54",AccountBasedExpenseLineDetail,"847966",HFT3,"114",Dues & Subscriptions,NotBillable,NON,"35915","2025-01-01",,,,,,,,Purchase
"1",SAFEWAY FUEL 5814 KAILUA KONA HI,"73.71",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35916","2025-01-01",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"88.45",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35917","2025-01-02",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"32.3",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35918","2025-01-03",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"42.92",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35919","2025-01-03",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"42.4",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35920","2025-01-03",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"84.65",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35921","2025-01-03",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"77.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35922","2025-01-03",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"68.45",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35923","2025-01-04",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"86.95",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35924","2025-01-04",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"50.3",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35925","2025-01-05",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"27.5",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35926","2025-01-05",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"82.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35927","2025-01-05",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"39.9",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35928","2025-01-05",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"80.25",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35929","2025-01-05",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"28.5",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35930","2025-01-03",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"86.18",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35931","2025-01-07",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"84.18",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35932","2025-01-06",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"90.27",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35933","2025-01-06",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"70.05",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35934","2025-01-06",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"81.38",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35935","2025-01-07",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"49.42",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35936","2025-01-08",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"21.9",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35937","2025-01-08",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"84.0",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35938","2025-01-08",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"89.7",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35939","2025-01-08",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"26.45",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35940","2025-01-08",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"114.9",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35941","2025-01-09",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"105.7",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35942","2025-01-09",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"80.65",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35943","2025-01-10",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"70.45",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35944","2025-01-10",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"66.3",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35945","2025-01-11",,,,,,,,Purchase
"1",COSTCO GAS #0140 KAILUA KONA HI,"79.8",AccountBasedExpenseLineDetail,"842100",HFTCO,"156",Fuel,NotBillable,NON,"35946","2025-01-11",,,,,,,,Purchase
