"Id","LineNum","Amount","DetailType","DepositLineDetail.Entity.value","DepositLineDetail.Entity.name","DepositLineDetail.Entity.type","DepositLineDetail.ClassRef.value","DepositLineDetail.ClassRef.name","DepositLineDetail.AccountRef.value","DepositLineDetail.AccountRef.name","Parent_Id","TxnDate","DocNumber","DepositLineDetail.CheckNum","Description","DepositLineDetail.PaymentMethodRef.value","DepositLineDetail.PaymentMethodRef.name","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","LinkedTxn[0].TxnLineId","ProjectRef.value","Parent_Entity"
"1","1.0","5629.96",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35873","2025-01-19",,,,,,,,,,Deposit
"2","2.0",-109.67,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35873","2025-01-19",,,,,,,,,,Deposit
"1","1.0","15.0",DepositLineDetail,,,,"842100",HFTCO,"83","9070-00 Miscellaneous Income","35872","2025-01-13",,,,,,,,,,Deposit
"1","1.0","5140.48",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35868","2025-01-12",,,,,,,,,,Deposit
"2","2.0",-100.38,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35868","2025-01-12",,,,,,,,,,Deposit
"1","1.0","6837.61",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35867","2025-01-11",,,,,,,,,,Deposit
"2","2.0",-133.53,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35867","2025-01-11",,,,,,,,,,Deposit
"1","1.0","2528.18",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35880","2025-01-20",,,,,,,,,,Deposit
"2","2.0",-49.24,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35880","2025-01-20",,,,,,,,,,Deposit
"1","1.0","7696.5",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35879","2025-01-13",,,,,,,,,,Deposit
"2","2.0",-149.48,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35879","2025-01-13",,,,,,,,,,Deposit
"1","1.0","4314.35",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35878","2025-01-14",,,,,,,,,,Deposit
"2","2.0",-83.74,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35878","2025-01-14",,,,,,,,,,Deposit
"1","1.0","5464.1",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35877","2025-01-15",,,,,,,,,,Deposit
"2","2.0",-105.61,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35877","2025-01-15",,,,,,,,,,Deposit
"1","1.0","19831.66",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35876","2025-01-16",,,,,,,,,,Deposit
"2","2.0",-380.12,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35876","2025-01-16",,,,,,,,,,Deposit
"1","1.0","14368.37",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35875","2025-01-17",,,,,,,,,,Deposit
"2","2.0",-277.06,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35875","2025-01-17",,,,,,,,,,Deposit
"1","1.0","6748.28",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35874","2025-01-18",,,,,,,,,,Deposit
"2","2.0",-131.84,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35874","2025-01-18",,,,,,,,,,Deposit
,,"719.36",,,,,,,,,"35881","2025-01-23",,"47817",,"5",,"35769",Payment,"0",,Deposit
,,"2337.92",,,,,,,,,"35881","2025-01-23",,"749428",,"5",,"35770",Payment,"0",,Deposit
,,"1853.36",,,,,,,,,"35881","2025-01-23",,"758747",,"5",,"35771",Payment,"0",,Deposit
,,"9476.5",,,,,,,,,"35881","2025-01-23",,"753929",,"5",,"35772",Payment,"0",,Deposit
,,"3996.91",,,,,,,,,"35881","2025-01-23",,"753789",,"5",,"35773",Payment,"0",,Deposit
,,"1774.05",,,,,,,,,"35881","2025-01-23",,"749430",,"5",,"35774",Payment,"0",,Deposit
,,"3500.0",,,,,,,,,"35881","2025-01-23",,"763243",,"5",,"35775",Payment,"0",,Deposit
,,"782.2",,,,,,,,,"35881","2025-01-23",,"758746",,"5",,"35776",Payment,"0",,Deposit
,,"408.38",,,,,,,,,"35881","2025-01-23",,"763011",,"5",,"35777",Payment,"0",,Deposit
,,"1054.69",,,,,,,,,"35881","2025-01-23",,"3828462",,"5",,"35778",Payment,"0",,Deposit
,,"14343.56",,,,,,,,,"35881","2025-01-23",,"763423",,"5",,"35781",Payment,"0",,Deposit
,,"740.4",,,,,,,,,"35881","2025-01-23",,"856234",,"5",,"35782",Payment,"0",,Deposit
,,"5106.8",,,,,,,,,"35881","2025-01-23",,"770109",,"5",,"35783",Payment,"0",,Deposit
,,"1039.78",,,,,,,,,"35881","2025-01-23",,"47849",,"5",,"35784",Payment,"0",,Deposit
,,"653.08",,,,,,,,,"35881","2025-01-23",,"57794",,"5",,"39208",Payment,"0",,Deposit
"1","1.0","10027.97",DepositLineDetail,,,,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35883","2025-01-21",,,,,,,,,,Deposit
"2","2.0",-195.16,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35883","2025-01-21",,,,,,,,,,Deposit
,,"1492.91",,,,,,,,,"35882","2025-01-23",,"749432",,"5",,"35786",Payment,"0",,Deposit
,,"383.66",,,,,,,,,"35882","2025-01-23",,"749438",,"5",,"35787",Payment,"0",,Deposit
,,"982.45",,,,,,,,,"35882","2025-01-23",,"3922987",,"5",,"35788",Payment,"0",,Deposit
,,"463.34",,,,,,,,,"35882","2025-01-23",,"753792",,"5",,"35789",Payment,"0",,Deposit
,,"314.14",,,,,,,,,"35882","2025-01-23",,"743775",,"5",,"35747",Payment,"0",,Deposit
"1","1.0","12470.73",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35892","2025-01-26",,,,,,,,,,Deposit
"2","2.0",-241.45,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35892","2025-01-26",,,,,,,,,,Deposit
"1","1.0","4487.34",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35891","2025-01-28",,,,,,,,,,Deposit
"2","2.0",-86.75,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35891","2025-01-28",,,,,,,,,,Deposit
"1","1.0","30.0",DepositLineDetail,,,,"842100",HFTCO,"83","9070-00 Miscellaneous Income","35890","2025-01-28",,,,,,,,,,Deposit
"1","1.0","13360.89",DepositLineDetail,,,,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35888","2025-01-26",,,,,,,,,,Deposit
"2","2.0",-258.07,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35888","2025-01-26",,,,,,,,,,Deposit
"1","1.0","15468.45",DepositLineDetail,,,,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35887","2025-01-25",,,,,,,,,,Deposit
"2","2.0",-296.88,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35887","2025-01-25",,,,,,,,,,Deposit
"1","1.0","3604.79",DepositLineDetail,,,,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35886","2025-01-24",,,,,,,,,,Deposit
"2","2.0",-69.7,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35886","2025-01-24",,,,,,,,,,Deposit
"1","1.0","6344.92",DepositLineDetail,,,,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35885","2025-01-23",,,,,,,,,,Deposit
"2","2.0",-123.86,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35885","2025-01-23",,,,,,,,,,Deposit
"1","1.0","5895.54",DepositLineDetail,,,,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35884","2025-01-22",,,,,,,,,,Deposit
"2","2.0",-115.0,DepositLineDetail,,,,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35884","2025-01-22",,,,,,,,,,Deposit
,,"8276.17",,,,,,,,,"35894","2025-01-31",,,,,,"37574",Payment,"0",,Deposit
,,"4876.7",,,,,,,,,"35894","2025-01-31",,"3183",,"5",,"35763",Payment,"0",,Deposit
,,"314.14",,,,,,,,,"35894","2025-01-31",,"763129",,"5",,"35785",Payment,"0",,Deposit
,,"3790.6",,,,,,,,,"35894","2025-01-31",,"47935",,,,"37014",Payment,"0",,Deposit
"2","1.0","681.68",DepositLineDetail,"44",Hawaii Discount LLC,CUSTOMER,"842100",HFTCO,"14","2300-00 Accounts Receivable","35894","2025-01-31",,"16066",,"5",Check,,,,,Deposit
"6","2.0","24000.0",DepositLineDetail,,,,"842100",HFTCO,"25",Property and Equipment:Vehicles,"35894","2025-01-31",,"53308",Sale of Waiau-7288,"5",Check,,,,,Deposit
"7","3.0","20000.0",DepositLineDetail,,,,"842100",HFTCO,"25",Property and Equipment:Vehicles,"35894","2025-01-31",,"3156",Sale of Alawi- 8721,"5",Check,,,,,Deposit
"1","1.0","7514.93",DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","35893","2025-01-30",,,,,,,,,,Deposit
"2","2.0",-141.79,DepositLineDetail,"131",Direct,CUSTOMER,"842100",HFTCO,"59","3400-03 Deferred Revenue:Credit Card Fees","35893","2025-01-30",,,,,,,,,,Deposit
"1","1.0","38.22",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36353","2025-01-02",,,,,,,,,,Deposit
"1","1.0","3828.08",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36352","2025-01-01",,,,,,,,,,Deposit
"2","2.0",-77.26,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36352","2025-01-01",,,,,,,,,,Deposit
"1","1.0","8841.67",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36351","2025-01-01",,,,,,,,,,Deposit
"2","2.0",-174.02,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36351","2025-01-01",,,,,,,,,,Deposit
"1","1.0","95.55",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36364","2025-01-08",,,,,,,,,,Deposit
"1","1.0","114.06",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36363","2025-01-07",,,,,,,,,,Deposit
"1","1.0","37.92",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36362","2025-01-03",,,,,,,,,,Deposit
"1","1.0","19.17",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36361","2025-01-05",,,,,,,,,,Deposit
"1","1.0","4874.18",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36360","2025-01-05",,,,,,,,,,Deposit
"2","2.0",-96.53,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36360","2025-01-05",,,,,,,,,,Deposit
"1","1.0","1912.97",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36359","2025-01-04",,,,,,,,,,Deposit
"2","2.0",-39.66,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36359","2025-01-04",,,,,,,,,,Deposit
"1","1.0","4592.53",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36358","2025-01-03",,,,,,,,,,Deposit
"2","2.0",-90.58,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36358","2025-01-03",,,,,,,,,,Deposit
"1","1.0","4036.6",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36357","2025-01-02",,,,,,,,,,Deposit
"2","2.0",-78.2,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36357","2025-01-02",,,,,,,,,,Deposit
"1","1.0","76.44",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36373","2025-01-14",,,,,,,,,,Deposit
"1","1.0","1026.14",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36371","2025-01-12",,,,,,,,,,Deposit
"2","2.0",-20.1,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36371","2025-01-12",,,,,,,,,,Deposit
"1","1.0","2991.98",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36370","2025-01-11",,,,,,,,,,Deposit
"2","2.0",-61.07,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36370","2025-01-11",,,,,,,,,,Deposit
"1","1.0","5017.45",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36369","2025-01-10",,,,,,,,,,Deposit
"2","2.0",-82.16,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36369","2025-01-10",,,,,,,,,,Deposit
"1","1.0","7877.85",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36368","2025-01-09",,,,,,,,,,Deposit
"2","2.0",-153.89,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36368","2025-01-09",,,,,,,,,,Deposit
"1","1.0","10637.74",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36367","2025-01-08",,,,,,,,,,Deposit
"2","2.0",-180.0,DepositLineDetail,"945",KFareHarbor{paid in FH},VENDOR,"842103",KOZICO,"31","3100-00 Accounts Payable","36367","2025-01-08",,,,,,,,,,Deposit
"3","3.0",-205.12,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36367","2025-01-08",,,,,,,,,,Deposit
"1","1.0","3538.91",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36366","2025-01-07",,,,,,,,,,Deposit
"2","2.0",-69.76,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36366","2025-01-07",,,,,,,,,,Deposit
"1","1.0","38.22",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36365","2025-01-09",,,,,,,,,,Deposit
"1","1.0","3554.21",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36376","2025-01-18",,,,,,,,,,Deposit
"2","2.0",-70.27,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36376","2025-01-18",,,,,,,,,,Deposit
"1","1.0","3492.05",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36375","2025-01-19",,,,,,,,,,Deposit
"2","2.0",-68.46,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36375","2025-01-19",,,,,,,,,,Deposit
"1","1.0","19.11",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36374","2025-01-16",,,,,,,,,,Deposit
"1","1.0","19.11",DepositLineDetail,,,,"842103",KOZICO,"75","5000-08 Other Revenue","36383","2025-01-23",,,,,,,,,,Deposit
"1","1.0","3287.91",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36382","2025-01-20",,,,,,,,,,Deposit
"2","2.0",-64.27,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36382","2025-01-20",,,,,,,,,,Deposit
"1","1.0","3903.59",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36381","2025-01-13",,,,,,,,,,Deposit
"2","2.0",-75.95,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36381","2025-01-13",,,,,,,,,,Deposit
"1","1.0","5706.65",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36380","2025-01-14",,,,,,,,,,Deposit
"2","2.0",-113.08,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36380","2025-01-14",,,,,,,,,,Deposit
"1","1.0","3316.09",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36379","2025-01-15",,,,,,,,,,Deposit
"2","2.0",-66.62,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36379","2025-01-15",,,,,,,,,,Deposit
"1","1.0","3610.44",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36378","2025-01-16",,,,,,,,,,Deposit
"2","2.0",-69.8,DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"59","3400-03 Deferred Revenue:Credit Card Fees","36378","2025-01-16",,,,,,,,,,Deposit
"1","1.0","5457.31",DepositLineDetail,"190",KDirect,CUSTOMER,"842103",KOZICO,"57","3400-01 Deferred Revenue:Deferred Revenue (CC)","36377","2025-01-17",,,,,,,,,,Deposit
