"Id","LineNum","Amount","DetailType","SalesItemLineDetail.ItemRef.value","SalesItemLineDetail.ItemRef.name","SalesItemLineDetail.UnitPrice","SalesItemLineDetail.Qty","SalesItemLineDetail.ItemAccountRef.value","SalesItemLineDetail.ItemAccountRef.name","SalesItemLineDetail.TaxCodeRef.value","Parent_Id","TxnDate","DocNumber","Description","SalesItemLineDetail.ServiceDate","SalesItemLineDetail.ClassRef.value","SalesItemLineDetail.ClassRef.name","LinkedTxn[0].TxnId","LinkedTxn[0].TxnType","LinkedTxn[0].TxnLineId","SalesItemLineDetail.MarkupInfo.PercentBased","SalesItemLineDetail.MarkupInfo.Value","SalesItemLineDetail.MarkupInfo.MarkUpIncomeAccountRef.value","SalesItemLineDetail.MarkupInfo.MarkUpIncomeAccountRef.name","GroupLineDetail.GroupItemRef.value","GroupLineDetail.GroupItemRef.name","GroupLineDetail.Quantity","GroupLineDetail.Line[0].Id","GroupLineDetail.Line[0].LineNum","GroupLineDetail.Line[0].Description","GroupLineDetail.Line[0].Amount","GroupLineDetail.Line[0].DetailType","GroupLineDetail.Line[0].SalesItemLineDetail.ServiceDate","GroupLineDetail.Line[0].SalesItemLineDetail.ItemRef.value","GroupLineDetail.Line[0].SalesItemLineDetail.ItemRef.name","GroupLineDetail.Line[0].SalesItemLineDetail.ClassRef.value","GroupLineDetail.Line[0].SalesItemLineDetail.ClassRef.name","GroupLineDetail.Line[0].SalesItemLineDetail.UnitPrice","GroupLineDetail.Line[0].SalesItemLineDetail.Qty","GroupLineDetail.Line[0].SalesItemLineDetail.ItemAccountRef.value","GroupLineDetail.Line[0].SalesItemLineDetail.ItemAccountRef.name","GroupLineDetail.Line[0].SalesItemLineDetail.TaxCodeRef.value","GroupLineDetail.Line[1].Id","GroupLineDetail.Line[1].LineNum","GroupLineDetail.Line[1].Description","GroupLineDetail.Line[1].Amount","GroupLineDetail.Line[1].DetailType","GroupLineDetail.Line[1].SalesItemLineDetail.ServiceDate","GroupLineDetail.Line[1].SalesItemLineDetail.ItemRef.value","GroupLineDetail.Line[1].SalesItemLineDetail.ItemRef.name","GroupLineDetail.Line[1].SalesItemLineDetail.ClassRef.value","GroupLineDetail.Line[1].SalesItemLineDetail.ClassRef.name","GroupLineDetail.Line[1].SalesItemLineDetail.UnitPrice","GroupLineDetail.Line[1].SalesItemLineDetail.Qty","GroupLineDetail.Line[1].SalesItemLineDetail.ItemAccountRef.value","GroupLineDetail.Line[1].SalesItemLineDetail.ItemAccountRef.name","GroupLineDetail.Line[1].SalesItemLineDetail.TaxCodeRef.value","SalesItemLineDetail.TaxClassificationRef.value","Parent_Entity"
,,"2000.0",SubTotalLineDetail,,,,,,,,"32300","2025-01-01","749504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"5","1.0","2000.0",SalesItemLineDetail,"122",Rent,"2000.0","1.0","90",General & Admin Expenses:Rents:Property Rents,NON,"32300","2025-01-01","749504",,"2025-01-01","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","4804.29",SalesItemLineDetail,"79",Signature- Private Tours,"4804.29",,"74","5000-05 Signature - Private Tours",NON,"32346","2025-01-06","763422",Louis de Charbonnieres,"2025-01-06","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"4804.29",SubTotalLineDetail,,,,,,,,"32346","2025-01-06","763422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","2930.37",SalesItemLineDetail,"79",Signature- Private Tours,,,"74","5000-05 Signature - Private Tours",NON,"32347","2025-01-03","758769",Hennigan,"2025-01-02","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"2","2.0","2995.37",SalesItemLineDetail,"79",Signature- Private Tours,,,"74","5000-05 Signature - Private Tours",NON,"32347","2025-01-03","758769",Hennigan,"2025-01-03","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"5925.74",SubTotalLineDetail,,,,,,,,"32347","2025-01-03","758769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","35892.42",SalesItemLineDetail,"137",Groups-Tours,"35892.42",,"72","5000-03 Group Tours",NON,"32369","2025-01-13","758770",,"2025-01-13","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"2","2.0",-17325.85,SalesItemLineDetail,"15",Deposits/Retainer,-17325.85,,"58","3400-02 Deferred Revenue:Private Tour/AR",NON,"32369","2025-01-13","758770",,"2024-12-19","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"6","3.0","504.64",SalesItemLineDetail,"138",Admin Fee,"504.64","1.0","155","6070-00 Tours:Credit Card Fees",NON,"32369","2025-01-13","758770",,,"842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"19071.21",SubTotalLineDetail,,,,,,,,"32369","2025-01-13","758770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0",-4547.91,SalesItemLineDetail,"15",Deposits/Retainer,,,"58","3400-02 Deferred Revenue:Private Tour/AR",NON,"32374","2025-01-20","758771",,"2025-01-29","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"2","2.0","10142.92",SalesItemLineDetail,"137",Groups-Tours,,,"72","5000-03 Group Tours",NON,"32374","2025-01-20","758771",Ace Hardware,"2025-01-29","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"5","3.0","1885.99",SalesItemLineDetail,"51",KOZI Transfers,,,"18",Intercompany:Transfer Account - HFT/KOZI,NON,"32374","2025-01-20","758771",Pd HFT for KOZI Tours,"2025-01-29","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"7481.0",SubTotalLineDetail,,,,,,,,"32374","2025-01-20","758771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","16490.85",SalesItemLineDetail,"137",Groups-Tours,"16490.85",,"72","5000-03 Group Tours",NON,"32385","2025-02-04","758773",Mirae Assets Global Investments,"2025-02-04","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"6","2.0","13.0",SalesItemLineDetail,"98",Wire Fee,"13.0","1.0","117","8010-00 General & Admin Expenses:Bank Fees",NON,"32385","2025-02-04","758773",Mirae,"2025-02-04","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"16503.85",SubTotalLineDetail,,,,,,,,"32385","2025-02-04","758773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"3500.0",SubTotalLineDetail,,,,,,,,"34978","2025-02-01","3360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"2000.0",SubTotalLineDetail,,,,,,,,"34979","2025-02-01","770128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","553.65",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"34995","2025-01-31","774884",,"2025-01-31","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"553.65",SubTotalLineDetail,,,,,,,,"34995","2025-01-31","774884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","510.46",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"34996","2025-01-31","774890",,"2025-01-31","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","3500.0",SalesItemLineDetail,"120",KOZI Shuttle,"3500.0","1.0","157","6100-00 Tours:Transportation - Shuttle Reim",NON,"34978","2025-02-01","3360",Lease Payment for Zip & Dip,,"842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"5","1.0","2000.0",SalesItemLineDetail,"122",Rent,"2000.0","1.0","90",General & Admin Expenses:Rents:Property Rents,NON,"34979","2025-02-01","770128",,,"842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"510.46",SubTotalLineDetail,,,,,,,,"34996","2025-01-31","774890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","172.25",SalesItemLineDetail,"23",FIT-TOURS RETAIL,"172.25",,"71","5000-02 FIT Tours",NON,"34997","2025-01-31","774893",,"2025-01-31","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"172.25",SubTotalLineDetail,,,,,,,,"34997","2025-01-31","774893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","1089.0",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"34998","2025-01-31","774898",,"2025-01-31","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"1089.0",SubTotalLineDetail,,,,,,,,"34998","2025-01-31","774898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","861.25",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"34999","2025-01-31","774903",,"2025-01-31","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"861.25",SubTotalLineDetail,,,,,,,,"34999","2025-01-31","774903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","553.65",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35000","2025-01-31","774910",,"2025-01-31","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"553.65",SubTotalLineDetail,,,,,,,,"35000","2025-01-31","774910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","476.44",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35002","2025-01-31","774925",,"2025-01-31","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"476.44",SubTotalLineDetail,,,,,,,,"35002","2025-01-31","774925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","3904.36",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35003","2025-01-31","774928",,"2025-01-31","842103",KOZICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"3904.36",SubTotalLineDetail,,,,,,,,"35003","2025-01-31","774928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","1167.8",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35060","2025-01-31","775153",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"1167.8",SubTotalLineDetail,,,,,,,,"35060","2025-01-31","775153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","977.75",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35061","2025-01-31","775154",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"977.75",SubTotalLineDetail,,,,,,,,"35061","2025-01-31","775154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","2272.24",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35062","2025-01-31","775155",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"2272.24",SubTotalLineDetail,,,,,,,,"35062","2025-01-31","775155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","359.68",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35063","2025-01-31","775157",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"359.68",SubTotalLineDetail,,,,,,,,"35063","2025-01-31","775157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","4842.65",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35064","2025-01-31","775161",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"4842.65",SubTotalLineDetail,,,,,,,,"35064","2025-01-31","775161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","926.68",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35065","2025-01-31","775164",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"926.68",SubTotalLineDetail,,,,,,,,"35065","2025-01-31","775164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","1255.06",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35066","2025-01-31","775165",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"1255.06",SubTotalLineDetail,,,,,,,,"35066","2025-01-31","775165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","469.64",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35067","2025-01-31","775170",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"469.64",SubTotalLineDetail,,,,,,,,"35067","2025-01-31","775170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","782.2",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35068","2025-01-31","775167",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"782.2",SubTotalLineDetail,,,,,,,,"35068","2025-01-31","775167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","2626.99",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35069","2025-01-31","775190",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"2626.99",SubTotalLineDetail,,,,,,,,"35069","2025-01-31","775190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","932.98",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35070","2025-01-31","775191",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"932.98",SubTotalLineDetail,,,,,,,,"35070","2025-01-31","775191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","4800.0",SalesItemLineDetail,"12",Cruise Tours- Kona,,,"70","5000-01 Cruise Tours",NON,"35071","2025-01-31","775192",,"2025-01-21","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"4800.0",SubTotalLineDetail,,,,,,,,"35071","2025-01-31","775192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","851.1",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35072","2025-01-31","775193",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"851.1",SubTotalLineDetail,,,,,,,,"35072","2025-01-31","775193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","6067.36",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35073","2025-01-31","775194",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"6067.36",SubTotalLineDetail,,,,,,,,"35073","2025-01-31","775194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","1839.58",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35074","2025-01-31","775230",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"1839.58",SubTotalLineDetail,,,,,,,,"35074","2025-01-31","775230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","16408.79",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35075","2025-01-31","775231",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"18293.57",SubTotalLineDetail,,,,,,,,"35075","2025-01-31","775231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","1396.32",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35076","2025-01-31","775233",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"1396.32",SubTotalLineDetail,,,,,,,,"35076","2025-01-31","775233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","409.0",SalesItemLineDetail,"23",FIT-TOURS RETAIL,,,"71","5000-02 FIT Tours",NON,"35077","2025-01-31","775253",,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"2","2.0","1884.78",SalesItemLineDetail,"64",Ohana Outings-Tours,,,"73","5000-04 Ohana - Private Tours",NON,"35075","2025-01-31","775231",Eliza Scaff,"2025-01-31","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"409.0",SubTotalLineDetail,,,,,,,,"35077","2025-01-31","775253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","3740.0",SalesItemLineDetail,"12",Cruise Tours- Kona,,,"70","5000-01 Cruise Tours",NON,"35078","2025-01-31","775254",,"2025-01-22","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"2","2.0","3570.0",SalesItemLineDetail,"12",Cruise Tours- Kona,,,"70","5000-01 Cruise Tours",NON,"35078","2025-01-31","775254",,"2025-01-29","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"7310.0",SubTotalLineDetail,,,,,,,,"35078","2025-01-31","775254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","2584.5",SalesItemLineDetail,"12",Cruise Tours- Kona,,,"70","5000-01 Cruise Tours",NON,"35079","2025-01-31","775257",,"2025-01-02","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"2","2.0","2067.6",SalesItemLineDetail,"12",Cruise Tours- Kona,,,"70","5000-01 Cruise Tours",NON,"35079","2025-01-31","775257",,"2025-01-06","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"3","3.0","1378.4",SalesItemLineDetail,"12",Cruise Tours- Kona,,,"70","5000-01 Cruise Tours",NON,"35079","2025-01-31","775257",,"2025-01-16","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"4","4.0","2584.5",SalesItemLineDetail,"12",Cruise Tours- Kona,,,"70","5000-01 Cruise Tours",NON,"35079","2025-01-31","775257",,"2025-01-20","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
,,"8615.0",SubTotalLineDetail,,,,,,,,"35079","2025-01-31","775257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
"1","1.0","3500.0",SalesItemLineDetail,"120",KOZI Shuttle,"3500.0","1.0","157","6100-00 Tours:Transportation - Shuttle Reim",NON,"35665","2025-01-05","763243",Lease Payment for Zip & Dip,"2025-01-05","842100",HFTCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoice
