"Id","LineNum","Description","Amount","DetailType","SalesItemLineDetail.ItemRef.value","SalesItemLineDetail.ItemRef.name","SalesItemLineDetail.ClassRef.value","SalesItemLineDetail.ClassRef.name","SalesItemLineDetail.UnitPrice","SalesItemLineDetail.Qty","SalesItemLineDetail.ItemAccountRef.value","SalesItemLineDetail.ItemAccountRef.name","SalesItemLineDetail.TaxCodeRef.value","Parent_Id","TxnDate","DocNumber","SalesItemLineDetail.TaxClassificationRef.value","Parent_Entity"
,,,"108.0",SubTotalLineDetail,,,,,,,,,,"40592","2025-04-22",#5661,,SalesReceipt
"19","1.0",,"13.5",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"13.5","1.0","77","5000-12 Retail Store Revenue",TAX,"40591","2025-04-23",#5671,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"100.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"100.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40591","2025-04-23",#5671,EUC-99990101-V1-00020000,SalesReceipt
,,,"113.5",SubTotalLineDetail,,,,,,,,,,"40591","2025-04-23",#5671,,SalesReceipt
"19","1.0",,"21.98",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"21.98","1.0","77","5000-12 Retail Store Revenue",TAX,"40596","2025-04-23",#5665,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"20.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"20.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40596","2025-04-23",#5665,EUC-99990101-V1-00020000,SalesReceipt
,,,"41.98",SubTotalLineDetail,,,,,,,,,,"40596","2025-04-23",#5665,,SalesReceipt
"19","1.0",,"54.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"54.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40595","2025-04-22",#5664,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"26.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"26.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40595","2025-04-22",#5664,EUC-99990101-V1-00020000,SalesReceipt
,,,"80.0",SubTotalLineDetail,,,,,,,,,,"40595","2025-04-22",#5664,,SalesReceipt
"11","1.0",,"35.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"35.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40594","2025-04-22",#5663,EUC-99990101-V1-00020000,SalesReceipt
,,,"35.0",SubTotalLineDetail,,,,,,,,,,"40594","2025-04-22",#5663,,SalesReceipt
"11","1.0",,"12.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"12.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40593","2025-04-22",#5662,EUC-99990101-V1-00020000,SalesReceipt
,,,"12.0",SubTotalLineDetail,,,,,,,,,,"40593","2025-04-22",#5662,,SalesReceipt
"27","1.0",,"21.2",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"21.2","1.0","77","5000-12 Retail Store Revenue",TAX,"40600","2025-04-12",#5578,EUC-99990101-V1-00020000,SalesReceipt
"28","2.0",,"28.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"28.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40600","2025-04-12",#5578,EUC-99990101-V1-00020000,SalesReceipt
"29","3.0",,"30.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"30.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40600","2025-04-12",#5578,EUC-99990101-V1-00020000,SalesReceipt
,,,"79.2",SubTotalLineDetail,,,,,,,,,,"40600","2025-04-12",#5578,,SalesReceipt
"4","1.0",,"20.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"20.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40599","2025-04-01",#5456,EUC-99990101-V1-00020000,SalesReceipt
,,,"20.0",SubTotalLineDetail,,,,,,,,,,"40599","2025-04-01",#5456,,SalesReceipt
"19","1.0",,"17.98",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"17.98","1.0","77","5000-12 Retail Store Revenue",TAX,"40598","2025-04-12",#5577,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"9.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"9.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40598","2025-04-12",#5577,EUC-99990101-V1-00020000,SalesReceipt
,,,"27.97",SubTotalLineDetail,,,,,,,,,,"40598","2025-04-12",#5577,,SalesReceipt
"11","1.0",,"44.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"44.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40597","2025-04-12",#5576,EUC-99990101-V1-00020000,SalesReceipt
,,,"44.0",SubTotalLineDetail,,,,,,,,,,"40597","2025-04-12",#5576,,SalesReceipt
"11","1.0",,"11.2",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"11.2","1.0","77","5000-12 Retail Store Revenue",TAX,"40604","2025-04-12",#5580,EUC-99990101-V1-00020000,SalesReceipt
,,,"11.2",SubTotalLineDetail,,,,,,,,,,"40604","2025-04-12",#5580,,SalesReceipt
"11","1.0",,"14.5",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"14.5","1.0","77","5000-12 Retail Store Revenue",TAX,"40603","2025-04-01",#5458,EUC-99990101-V1-00020000,SalesReceipt
,,,"14.5",SubTotalLineDetail,,,,,,,,,,"40603","2025-04-01",#5458,,SalesReceipt
"19","1.0",,"10.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40602","2025-04-12",#5579,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"10.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40602","2025-04-12",#5579,EUC-99990101-V1-00020000,SalesReceipt
,,,"20.0",SubTotalLineDetail,,,,,,,,,,"40602","2025-04-12",#5579,,SalesReceipt
"11","1.0",,"4.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"4.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40601","2025-04-01",#5457,EUC-99990101-V1-00020000,SalesReceipt
,,,"4.0",SubTotalLineDetail,,,,,,,,,,"40601","2025-04-01",#5457,,SalesReceipt
"19","1.0",,"9.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"9.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40607","2025-04-01",#5460,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"9.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"9.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40607","2025-04-01",#5460,EUC-99990101-V1-00020000,SalesReceipt
,,,"18.0",SubTotalLineDetail,,,,,,,,,,"40607","2025-04-01",#5460,,SalesReceipt
"11","1.0",,"25.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"25.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40606","2025-04-14",#5581,EUC-99990101-V1-00020000,SalesReceipt
,,,"25.0",SubTotalLineDetail,,,,,,,,,,"40606","2025-04-14",#5581,,SalesReceipt
"35","1.0",,"10.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40605","2025-04-01",#5459,EUC-99990101-V1-00020000,SalesReceipt
"36","2.0",,"22.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"22.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40605","2025-04-01",#5459,EUC-99990101-V1-00020000,SalesReceipt
"37","3.0",,"18.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"18.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40605","2025-04-01",#5459,EUC-99990101-V1-00020000,SalesReceipt
"38","4.0",,"31.95",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"31.95","1.0","77","5000-12 Retail Store Revenue",TAX,"40605","2025-04-01",#5459,EUC-99990101-V1-00020000,SalesReceipt
,,,"82.94",SubTotalLineDetail,,,,,,,,,,"40605","2025-04-01",#5459,,SalesReceipt
"11","1.0",,"8.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"8.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40611","2025-04-01",#5462,EUC-99990101-V1-00020000,SalesReceipt
,,,"8.99",SubTotalLineDetail,,,,,,,,,,"40611","2025-04-01",#5462,,SalesReceipt
"11","1.0",,"33.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"33.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40610","2025-04-14",#5583,EUC-99990101-V1-00020000,SalesReceipt
,,,"33.0",SubTotalLineDetail,,,,,,,,,,"40610","2025-04-14",#5583,,SalesReceipt
"11","1.0",,"10.5",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.5","1.0","77","5000-12 Retail Store Revenue",TAX,"40609","2025-04-01",#5461,EUC-99990101-V1-00020000,SalesReceipt
,,,"10.5",SubTotalLineDetail,,,,,,,,,,"40609","2025-04-01",#5461,,SalesReceipt
"19","1.0",,"18.8",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"18.8","1.0","77","5000-12 Retail Store Revenue",TAX,"40608","2025-04-14",#5582,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"69.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"69.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40608","2025-04-14",#5582,EUC-99990101-V1-00020000,SalesReceipt
,,,"87.8",SubTotalLineDetail,,,,,,,,,,"40608","2025-04-14",#5582,,SalesReceipt
"11","1.0",,"16.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"16.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40613","2025-04-01",#5463,EUC-99990101-V1-00020000,SalesReceipt
,,,"16.0",SubTotalLineDetail,,,,,,,,,,"40613","2025-04-01",#5463,,SalesReceipt
"11","1.0",,"33.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"33.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40612","2025-04-14",#5584,EUC-99990101-V1-00020000,SalesReceipt
,,,"33.0",SubTotalLineDetail,,,,,,,,,,"40612","2025-04-14",#5584,,SalesReceipt
"27","1.0",,"13.5",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"13.5","1.0","77","5000-12 Retail Store Revenue",TAX,"40616","2025-04-01",#5465,EUC-99990101-V1-00020000,SalesReceipt
"28","2.0",,"90.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"90.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40616","2025-04-01",#5465,EUC-99990101-V1-00020000,SalesReceipt
"29","3.0",,"60.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"60.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40616","2025-04-01",#5465,EUC-99990101-V1-00020000,SalesReceipt
,,,"163.5",SubTotalLineDetail,,,,,,,,,,"40616","2025-04-01",#5465,,SalesReceipt
"11","1.0",,"29.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"29.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40615","2025-04-01",#5464,EUC-99990101-V1-00020000,SalesReceipt
,,,"29.0",SubTotalLineDetail,,,,,,,,,,"40615","2025-04-01",#5464,,SalesReceipt
"11","1.0",,"33.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"33.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40614","2025-04-14",#5585,EUC-99990101-V1-00020000,SalesReceipt
,,,"33.0",SubTotalLineDetail,,,,,,,,,,"40614","2025-04-14",#5585,,SalesReceipt
"11","1.0",,"5.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"5.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40618","2025-04-11",#5567,EUC-99990101-V1-00020000,SalesReceipt
,,,"5.0",SubTotalLineDetail,,,,,,,,,,"40618","2025-04-11",#5567,,SalesReceipt
"43","1.0",,"40.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"40.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40617","2025-04-11",#5566,EUC-99990101-V1-00020000,SalesReceipt
"44","2.0",,"40.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"40.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40617","2025-04-11",#5566,EUC-99990101-V1-00020000,SalesReceipt
"45","3.0",,"40.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"40.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40617","2025-04-11",#5566,EUC-99990101-V1-00020000,SalesReceipt
"46","4.0",,"24.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"24.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40617","2025-04-11",#5566,EUC-99990101-V1-00020000,SalesReceipt
"47","5.0",,"119.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"119.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40617","2025-04-11",#5566,EUC-99990101-V1-00020000,SalesReceipt
,,,"263.99",SubTotalLineDetail,,,,,,,,,,"40617","2025-04-11",#5566,,SalesReceipt
"19","1.0",,"10.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40621","2025-04-12",#5570,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"28.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"28.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40621","2025-04-12",#5570,EUC-99990101-V1-00020000,SalesReceipt
,,,"38.99",SubTotalLineDetail,,,,,,,,,,"40621","2025-04-12",#5570,,SalesReceipt
"19","1.0",,"30.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"30.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40620","2025-04-12",#5569,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"28.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"28.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40620","2025-04-12",#5569,EUC-99990101-V1-00020000,SalesReceipt
,,,"58.0",SubTotalLineDetail,,,,,,,,,,"40620","2025-04-12",#5569,,SalesReceipt
"19","1.0",,"69.6",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"69.6","1.0","77","5000-12 Retail Store Revenue",TAX,"40619","2025-04-11",#5568,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"44.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"44.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40619","2025-04-11",#5568,EUC-99990101-V1-00020000,SalesReceipt
,,,"113.6",SubTotalLineDetail,,,,,,,,,,"40619","2025-04-11",#5568,,SalesReceipt
"43","1.0",,"9.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"9.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40623","2025-04-12",#5572,EUC-99990101-V1-00020000,SalesReceipt
"44","2.0",,"3.5",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"3.5","1.0","77","5000-12 Retail Store Revenue",TAX,"40623","2025-04-12",#5572,EUC-99990101-V1-00020000,SalesReceipt
"45","3.0",,"3.5",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"3.5","1.0","77","5000-12 Retail Store Revenue",TAX,"40623","2025-04-12",#5572,EUC-99990101-V1-00020000,SalesReceipt
"46","4.0",,"3.5",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"3.5","1.0","77","5000-12 Retail Store Revenue",TAX,"40623","2025-04-12",#5572,EUC-99990101-V1-00020000,SalesReceipt
"47","5.0",,"10.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40623","2025-04-12",#5572,EUC-99990101-V1-00020000,SalesReceipt
,,,"29.5",SubTotalLineDetail,,,,,,,,,,"40623","2025-04-12",#5572,,SalesReceipt
"11","1.0",,"19.8",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"19.8","1.0","77","5000-12 Retail Store Revenue",TAX,"40622","2025-04-12",#5571,EUC-99990101-V1-00020000,SalesReceipt
,,,"19.8",SubTotalLineDetail,,,,,,,,,,"40622","2025-04-12",#5571,,SalesReceipt
"35","1.0",,"13.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"13.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40625","2025-04-12",#5574,EUC-99990101-V1-00020000,SalesReceipt
"36","2.0",,"12.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"12.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40625","2025-04-12",#5574,EUC-99990101-V1-00020000,SalesReceipt
"37","3.0",,"109.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"109.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40625","2025-04-12",#5574,EUC-99990101-V1-00020000,SalesReceipt
"38","4.0",,"65.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"65.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40625","2025-04-12",#5574,EUC-99990101-V1-00020000,SalesReceipt
,,,"200.98",SubTotalLineDetail,,,,,,,,,,"40625","2025-04-12",#5574,,SalesReceipt
"11","1.0",,"10.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"10.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40624","2025-04-12",#5573,EUC-99990101-V1-00020000,SalesReceipt
,,,"10.0",SubTotalLineDetail,,,,,,,,,,"40624","2025-04-12",#5573,,SalesReceipt
"11","1.0",,"30.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"30.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40629","2025-04-03",#5477,EUC-99990101-V1-00020000,SalesReceipt
,,,"30.0",SubTotalLineDetail,,,,,,,,,,"40629","2025-04-03",#5477,,SalesReceipt
"11","1.0",,"25.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"25.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40628","2025-04-02",#5476,EUC-99990101-V1-00020000,SalesReceipt
,,,"25.0",SubTotalLineDetail,,,,,,,,,,"40628","2025-04-02",#5476,,SalesReceipt
"27","1.0",,"30.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"30.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40627","2025-04-01",#5455,EUC-99990101-V1-00020000,SalesReceipt
"28","2.0",,"15.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"15.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40627","2025-04-01",#5455,EUC-99990101-V1-00020000,SalesReceipt
"29","3.0",,"4.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"4.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40627","2025-04-01",#5455,EUC-99990101-V1-00020000,SalesReceipt
,,,"49.0",SubTotalLineDetail,,,,,,,,,,"40627","2025-04-01",#5455,,SalesReceipt
"11","1.0",,"75.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"75.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40632","2025-04-03",#5480,EUC-99990101-V1-00020000,SalesReceipt
,,,"75.0",SubTotalLineDetail,,,,,,,,,,"40632","2025-04-03",#5480,,SalesReceipt
"11","1.0",,"25.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"25.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40631","2025-04-03",#5479,EUC-99990101-V1-00020000,SalesReceipt
,,,"25.0",SubTotalLineDetail,,,,,,,,,,"40631","2025-04-03",#5479,,SalesReceipt
"19","1.0",,"99.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"99.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40630","2025-04-03",#5478,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"70.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"70.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40630","2025-04-03",#5478,EUC-99990101-V1-00020000,SalesReceipt
,,,"169.0",SubTotalLineDetail,,,,,,,,,,"40630","2025-04-03",#5478,,SalesReceipt
"11","1.0",,"22.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"22.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40635","2025-04-03",#5483,EUC-99990101-V1-00020000,SalesReceipt
,,,"22.0",SubTotalLineDetail,,,,,,,,,,"40635","2025-04-03",#5483,,SalesReceipt
"11","1.0",,"25.98",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"25.98","1.0","77","5000-12 Retail Store Revenue",TAX,"40634","2025-04-03",#5482,EUC-99990101-V1-00020000,SalesReceipt
,,,"25.98",SubTotalLineDetail,,,,,,,,,,"40634","2025-04-03",#5482,,SalesReceipt
"11","1.0",,"8.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"8.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40633","2025-04-03",#5481,EUC-99990101-V1-00020000,SalesReceipt
,,,"8.0",SubTotalLineDetail,,,,,,,,,,"40633","2025-04-03",#5481,,SalesReceipt
"11","1.0",,"25.98",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"25.98","1.0","77","5000-12 Retail Store Revenue",TAX,"40639","2025-04-01",#5467,EUC-99990101-V1-00020000,SalesReceipt
,,,"25.98",SubTotalLineDetail,,,,,,,,,,"40639","2025-04-01",#5467,,SalesReceipt
"11","1.0",,"21.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"21.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40638","2025-04-01",#5466,EUC-99990101-V1-00020000,SalesReceipt
,,,"21.0",SubTotalLineDetail,,,,,,,,,,"40638","2025-04-01",#5466,,SalesReceipt
"11","1.0",,"25.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"25.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40637","2025-04-03",#5485,EUC-99990101-V1-00020000,SalesReceipt
,,,"25.0",SubTotalLineDetail,,,,,,,,,,"40637","2025-04-03",#5485,,SalesReceipt
"11","1.0",,"12.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"12.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40636","2025-04-03",#5484,EUC-99990101-V1-00020000,SalesReceipt
,,,"12.99",SubTotalLineDetail,,,,,,,,,,"40636","2025-04-03",#5484,,SalesReceipt
"19","1.0",,"9.99",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"9.99","1.0","77","5000-12 Retail Store Revenue",TAX,"40641","2025-04-01",#5469,EUC-99990101-V1-00020000,SalesReceipt
"20","2.0",,"25.0",SalesItemLineDetail,"865",Retail Item,"842106",RETAIL,"25.0","1.0","77","5000-12 Retail Store Revenue",TAX,"40641","2025-04-01",#5469,EUC-99990101-V1-00020000,SalesReceipt
