"AcceptedBy","AcceptedDate","domain","sparse","Id","SyncToken","MetaData.CreateTime","MetaData.LastUpdatedTime","CustomField[0].DefinitionId","CustomField[0].Name","CustomField[0].Type","CustomField[0].StringValue","CustomField[1].DefinitionId","CustomField[1].Name","CustomField[1].Type","CustomField[1].StringValue","DocNumber","TxnDate","DepartmentRef.value","DepartmentRef.name","CurrencyRef.value","CurrencyRef.name","TxnStatus","TxnTaxDetail.TxnTaxCodeRef.value","TxnTaxDetail.TotalTax","TxnTaxDetail.TaxLine[0].Amount","TxnTaxDetail.TaxLine[0].DetailType","TxnTaxDetail.TaxLine[0].TaxLineDetail.TaxRateRef.value","TxnTaxDetail.TaxLine[0].TaxLineDetail.PercentBased","TxnTaxDetail.TaxLine[0].TaxLineDetail.TaxPercent","TxnTaxDetail.TaxLine[0].TaxLineDetail.NetAmountTaxable","TxnTaxDetail.TaxLine[1].Amount","TxnTaxDetail.TaxLine[1].DetailType","TxnTaxDetail.TaxLine[1].TaxLineDetail.TaxRateRef.value","TxnTaxDetail.TaxLine[1].TaxLineDetail.PercentBased","TxnTaxDetail.TaxLine[1].TaxLineDetail.TaxPercent","TxnTaxDetail.TaxLine[1].TaxLineDetail.NetAmountTaxable","ProjectRef.value","TotalCostAmount","HomeTotalCostAmount","CustomerRef.value","CustomerRef.name","BillAddr.Id","BillAddr.Line1","BillAddr.Line2","ShipAddr.Id","ShipAddr.Line1","ShipAddr.Line2","ShipAddr.Line3","ShipAddr.Line4","FreeFormAddress","TotalAmt","ApplyTaxAfterDiscount","PrintStatus","EmailStatus","BillEmail.Address","BillAddr.Line3","BillEmailCc.Address","PrivateNote","TaxExemptionRef.value","BillAddr.Line4","ExpirationDate","BillAddr.Line5","ShipAddr.Line5"
Tiari Wells,"2025-03-29",QBO,False,"45311","4","2025-07-11T12:31:36-07:00","2025-08-11T14:15:55-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59438","2025-02-27","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"8","0","0",TaxLineDetail,"11",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0","615616572","11654.96","11654.96","1331",Elasticlub,"12675",HD Premier,,,,,,,False,"11654.96",False,NeedToPrint,NotSet,tiari@hd-premier.com,,,,,,"2025-03-29",,
,"2025-07-28",QBO,False,"45815","3","2025-07-28T13:24:57-07:00","2025-07-28T13:28:28-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59439","2026-01-25","1",Hawaii Forest & Trail,USD,United States Dollar,Accepted,"8","0","0",TaxLineDetail,"11",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0",,,,"131",Direct,"12971",Direct,,"14209",,,,,True,"9853.23",False,NeedToPrint,NotSet,groups@hawaii-forest.com,,,UGA,"99",,,,
Jackson Bauer,"2025-08-19",QBO,False,"46417","10","2025-08-11T14:07:19-07:00","2025-09-17T16:14:35-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59440","2025-09-18","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"8","0","0",TaxLineDetail,"10",True,"4.166","0","0.0",TaxLineDetail,"11",True,"0.546","0.0",,,,"131",Direct,"14005",Direct,,"14323",Direct,,,,True,"25864.81",False,NeedToPrint,NotSet,groups@hawaii-forest.com,,,,"99",,,,
Yonathan Gross,,QBO,False,"47037","8","2025-08-19T18:03:43-07:00","2025-10-31T18:05:56-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59441","2025-09-23","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0",,,,"1185",MC&A - Groups,"13645",MC&A - Groups,MC&A,"13646",MC&A - Groups,MC&A,"2155 Kalakaua Ave. Ste 810","Honolulu, HI  96815",True,"23066.47",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,,,Service Heroes,,,,,
,,QBO,False,"47041","4","2025-08-19T18:42:34-07:00","2025-09-02T18:35:13-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59442","2025-12-04","1",Hawaii Forest & Trail,USD,United States Dollar,Accepted,"9","0","0",TaxLineDetail,"10",True,"4.166","0","0.0",TaxLineDetail,"12",True,"0.546","0.0",,,,"1185",MC&A - Groups,"13948",MC&A - Groups,MC&A,"13949",MC&A - Groups,MC&A,"2155 Kalakaua Ave. Ste 810","Honolulu, HI  96815",True,"10592.68",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,,,Cisco 2025,,,,,
Katelyn Ingersol,,QBO,False,"47066","5","2025-08-20T18:20:38-07:00","2025-09-23T15:09:50-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59443","2025-09-17","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"7","0","0",TaxLineDetail,"8",True,"0.0","0",,,,,,,,,,"111",PRA Events Inc,"13814","PRA Events, Inc",One North LaSalle St. ,"13815","PRA Events, Inc",One North LaSalle St. ,Suite 1800,"Chicago, IL  60602",True,"15334.44",False,NeedToPrint,NotSet,accountspayable@pra.com,Suite 1800,,SMPA,"99","Chicago, IL  60602",,,
Mikell Gleason,,QBO,False,"47317","2","2025-08-28T16:56:27-07:00","2025-08-28T16:57:49-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59445","2026-03-11","1",Hawaii Forest & Trail,USD,United States Dollar,Accepted,"8","0","0",TaxLineDetail,"10",True,"4.166","0","0.0",TaxLineDetail,"11",True,"0.546","0.0",,,,"131",Direct,"13819",Direct,,"14209",,,,,True,"9853.23",False,NeedToPrint,NotSet,groups@hawaii-forest.com,,,UGA- March,"99",,,,
Magali Anne Robert,,QBO,False,"47922","2","2025-09-09T19:58:18-07:00","2025-10-01T11:54:47-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59446","2025-10-21","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"8","0","0",TaxLineDetail,"10",True,"4.166","0","0.0",TaxLineDetail,"11",True,"0.546","0.0",,,,"48",HD Premier,,,,,,,,,False,"12145.04",False,NeedToPrint,NotSet,della@hd-premier.com,,,CIMAX,"99",,,,
,,QBO,False,"48056","1","2025-09-12T14:01:04-07:00","2025-09-12T14:01:42-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59447","2025-10-15","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"11","0","0",TaxLineDetail,"10",True,"4.166","0",,,,,,,,,,"90",Makana Hawai'i Incentives,"14181",Makana Hawai'i Incentives,Whitney Niemi,"14182",Makana Hawai'i Incentives,Whitney Niemi,"2009 Lower Rd","Kula,",True,"7898.46",False,NeedToPrint,NotSet,lauren@makanahi.com,"2009 Lower Rd",,Intuit,"99","Kula,",,"Kula, HI  96790","Kula, HI  96790"
,,QBO,False,"48087","3","2025-09-12T19:15:15-07:00","2025-09-17T13:54:48-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59448","2025-10-08","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"8","0","0",TaxLineDetail,"10",True,"4.166","0","0.0",TaxLineDetail,"11",True,"0.546","0.0",,,,"131",Direct,"14207",Direct,,"14209",,,,,True,"6072.52",False,NeedToPrint,NotSet,groups@hawaii-forest.com,,,Voyages Golf,"99",,,,
,,QBO,False,"48270","1","2025-09-18T13:18:56-07:00","2025-09-18T13:21:04-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59449","2025-10-07","1",Hawaii Forest & Trail,USD,United States Dollar,Converted,"8","0","0",TaxLineDetail,"10",True,"4.166","0","0.0",TaxLineDetail,"11",True,"0.546","0.0",,,,"131",Direct,"14332",Direct- Limitless Planet Travel,,"14333",Direct,,,,True,"5922.52",False,NeedToPrint,NotSet,groups@hawaii-forest.com,,,Netscout,"99",,,,
"10/16/25",,QBO,False,"49351","3","2025-10-16T11:24:05-07:00","2025-10-16T11:29:09-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59450","2025-10-16","1",Hawaii Forest & Trail,USD,United States Dollar,Accepted,"7","0","0",TaxLineDetail,"8",True,"0.0","0",,,,,,,,,,"111",PRA Events Inc,"14868","PRA Events, Inc",One North LaSalle St. ,"14869","PRA Events, Inc",One North LaSalle St. ,Suite 1800,"Chicago, IL  60602",True,"10507.32",False,NeedToPrint,NotSet,accountspayable@pra.com,Suite 1800,,Shamrock Foods,"99","Chicago, IL  60602",,,
,,QBO,False,"49526","5","2025-10-21T14:01:40-07:00","2025-10-21T14:05:30-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59451","2025-11-20","1",Hawaii Forest & Trail,USD,United States Dollar,Accepted,"9","0","0",TaxLineDetail,"12",True,"0.546","0","0.0",TaxLineDetail,"10",True,"4.166","0.0",,,,"1185",MC&A - Groups,"15021",MC&A - Groups,MC&A,"15022",MC&A - Groups,MC&A,"2155 Kalakaua Ave. Ste 810","Honolulu, HI  96815",True,"7944.51",False,NeedToPrint,NotSet,accountingmca@mcahawaii.com,,,Cohesity,,,,,
Maris Shields,,QBO,False,"49896","1","2025-10-31T14:33:35-07:00","2025-10-31T14:37:15-07:00","1",P.O. Number,StringType,,"2",Sales Rep,StringType,,"59452","2026-02-16","1",Hawaii Forest & Trail,USD,United States Dollar,Accepted,"7","0","0",TaxLineDetail,"8",True,"0.0","0",,,,,,,,,,"28",Criterion Travel,"15164",Criterion Travel,"4250 SW Hall Boulevard","15165",Criterion Travel,"4250 SW Hall Boulevard","Beaverton, OR  97005",,True,"13996.2",False,NeedToPrint,NotSet,maris@criteriontravel.com,"Beaverton, OR  97005",,,"99",,,,
